CL,1,30
-0.06,55.45
AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,CR,CS,CT,CU,CV,CW,CX,CY,CZ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR,DS,DT,DU,DV
29.22,2.55,11.01,23.30,39.73,25.70,24.85,43.11,972.51,22.91,37.29,5.49,63.27,44.32,6.43,41.67,33.47,48.25,32.18,6.25,45.92,21.92,25.20,77.33,11.70,12.82,59.28,11.27,21.55,16.18,7.42,68.04,27.86,37.47,14.12,6.44,12.10,23.31,21.31,35.46,428.23,13.32,7.90,20.49,20.68,8.19,30.25,56.99,18.22,24.51,32.27,34.20,7.28,90.05,11.16,5.59,20.41,12.48,222.68,109.15,28.85,24.68,17.73,55.47,9.76,5.31,14.75,23.85,42.89,40.41,26.63,10.75,11.05,33.55,25.32,34.49,26.99,9.16,22.57,21.31,13.07,44.34,30.34,52.01,3.97,7.96,19.27,19.55,14.06,23.86,19.91,26.48,3.55,5.54,26.25,2.85,13.09,10.61,31.78,26.69
28.65,2.44,11.09,23.37,40.46,26.43,25.08,43.98,965.28,23.68,36.86,5.47,62.92,44.45,6.53,41.53,33.38,48.13,31.81,6.23,46.05,21.83,24.74,83.22,12.11,13.04,59.27,11.51,21.89,16.33,7.42,67.66,28.21,37.35,14.34,6.64,12.46,25.14,21.52,35.87,424.51,13.37,7.93,20.56,21.53,8.22,30.65,56.45,19.18,24.80,32.39,34.22,7.56,91.93,11.16,5.60,20.33,12.59,218.44,110.35,28.42,24.79,17.78,55.00,9.88,5.22,14.62,24.10,44.24,40.40,26.48,10.78,11.22,33.67,25.34,39.46,27.17,9.15,22.70,22.37,13.07,44.34,30.08,51.82,4.02,7.92,19.44,19.69,14.33,24.39,19.93,26.86,3.63,5.55,27.26,2.89,13.82,10.76,31.86,27.09
27.57,2.35,10.77,23.45,38.43,25.78,24.78,42.37,945.58,22.71,36.40,5.33,60.74,43.92,6.28,40.59,32.67,46.95,31.20,6.09,44.93,21.30,24.53,88.56,11.76,12.91,58.84,11.34,21.23,15.94,7.30,67.38,28.41,36.69,13.95,6.54,11.97,24.60,21.29,35.59,404.58,13.07,7.83,20.51,21.10,8.10,30.30,54.92,18.44,24.32,32.50,33.39,6.89,89.45,10.89,5.38,19.56,12.25,199.93,108.59,27.66,23.89,17.59,53.85,9.92,5.16,14.20,23.41,42.69,39.51,25.79,10.56,11.10,33.51,24.72,37.82,26.37,9.05,23.13,21.65,12.93,43.81,29.43,50.70,3.98,7.85,19.40,19.24,14.01,23.41,19.68,26.57,3.35,5.52,26.05,2.85,13.43,10.56,31.13,27.00
27.74,2.40,10.82,23.10,37.79,25.85,24.82,42.05,944.16,22.54,36.50,5.49,60.12,43.73,6.27,40.62,32.50,47.32,31.30,5.63,44.84,21.39,24.56,89.38,11.43,12.78,58.79,11.27,21.48,16.00,7.23,66.85,28.52,36.28,13.69,6.64,11.85,24.35,21.15,36.23,407.33,13.07,7.87,20.24,20.94,8.09,30.36,54.84,17.92,24.10,32.81,33.80,6.96,89.73,10.94,5.67,19.51,12.00,213.96,109.77,27.33,24.03,17.55,53.88,10.02,5.15,13.93,23.21,43.19,39.76,25.94,10.66,11.09,33.69,24.77,38.21,26.37,9.10,23.03,21.79,12.90,43.97,29.69,51.01,3.81,7.84,19.16,19.20,14.18,23.48,19.62,26.12,3.33,5.47,25.90,2.85,13.51,10.57,31.40,27.09
29.24,2.35,10.70,23.00,39.13,26.34,25.19,42.14,943.17,22.97,35.75,5.50,60.15,44.02,6.30,41.71,32.71,47.77,31.40,5.64,44.42,21.84,24.63,89.93,11.45,12.33,58.96,11.32,21.23,16.13,7.24,66.75,28.33,36.59,13.82,6.43,12.14,24.22,21.47,36.13,407.42,13.15,7.87,20.01,21.32,8.19,30.72,55.54,18.15,24.20,32.99,33.58,6.91,90.59,10.94,5.72,19.32,12.35,221.74,109.87,27.85,24.36,17.65,53.51,10.07,5.09,13.89,23.39,44.71,38.57,25.83,10.77,11.00,33.63,25.13,39.79,26.52,9.08,23.12,22.19,12.88,44.11,29.99,50.00,3.93,7.78,19.13,19.15,14.10,23.66,19.49,26.02,3.53,5.50,25.43,2.86,13.57,10.49,31.81,26.88
29.22,2.29,11.26,23.28,38.96,26.57,24.79,41.56,932.82,22.40,35.25,5.49,60.57,43.60,6.17,41.77,33.00,47.24,31.36,5.25,43.61,21.62,24.74,90.30,11.12,12.70,59.30,11.01,20.98,16.70,7.18,66.06,27.92,36.87,14.00,6.64,11.92,24.28,21.48,35.67,409.37,13.06,7.83,19.98,20.87,8.18,30.39,54.94,17.82,24.51,32.42,33.33,6.82,90.21,10.76,5.87,19.20,12.21,216.72,110.34,27.53,24.04,17.36,53.55,9.97,5.04,13.84,23.32,44.10,38.01,26.08,10.83,10.92,33.67,24.98,39.44,26.60,9.08,22.68,22.34,12.93,42.65,30.08,49.19,3.80,7.74,19.37,19.23,14.11,24.21,19.06,25.63,4.08,5.52,25.40,2.90,13.45,10.75,31.85,26.51
28.52,2.23,11.57,23.47,38.77,27.14,24.55,41.09,941.75,22.38,36.61,6.60,57.71,44.68,6.31,42.10,33.20,48.52,32.31,5.19,44.36,21.96,24.91,94.14,11.21,13.08,58.82,10.81,21.55,16.38,7.35,67.09,28.12,36.99,14.01,6.82,12.08,24.30,21.66,35.07,416.27,13.30,7.87,20.12,20.58,8.28,30.23,56.89,18.06,24.33,32.10,33.81,7.02,91.20,10.94,5.98,19.35,12.54,217.35,113.51,27.82,24.94,17.73,53.43,9.98,5.07,14.02,23.73,44.68,38.10,26.84,10.92,10.99,33.53,25.53,40.90,26.98,9.05,22.54,23.12,13.08,42.56,30.98,48.99,3.84,7.73,19.81,19.31,14.35,24.99,19.36,25.35,4.14,5.50,25.50,2.90,13.91,10.69,32.15,26.59
27.24,2.22,11.48,23.63,40.08,27.08,24.48,41.02,944.73,22.39,36.28,7.00,57.23,45.22,6.27,42.09,33.13,48.41,32.58,5.17,45.23,21.73,24.78,92.83,11.15,13.29,58.76,11.03,22.44,16.80,7.43,67.04,28.60,36.96,14.16,6.80,12.19,24.43,22.02,35.16,415.03,13.36,7.93,20.42,20.58,8.34,30.54,56.81,18.07,24.43,32.29,34.47,6.91,91.70,11.28,5.96,19.31,12.71,216.96,114.78,27.54,25.21,17.89,53.63,10.22,5.13,14.14,23.72,45.31,38.15,26.95,11.05,10.81,33.89,25.50,41.69,27.34,9.03,22.61,22.84,13.17,42.45,30.85,48.95,3.90,7.84,20.25,20.25,14.70,25.44,19.51,25.88,3.97,5.45,26.46,2.94,14.18,10.67,32.51,27.06
27.34,2.31,11.47,23.63,39.35,27.31,24.56,40.65,936.51,22.29,36.39,7.30,58.05,44.96,6.27,41.60,32.89,48.74,32.56,5.25,44.73,21.75,24.85,93.02,10.96,13.20,58.56,10.96,21.51,16.61,7.32,66.68,28.67,36.68,14.24,6.84,12.33,24.10,21.86,35.38,414.59,13.66,7.84,20.28,20.89,8.22,30.26,56.35,17.67,24.20,31.79,34.66,6.81,91.48,11.20,5.98,19.30,12.32,213.62,115.55,27.54,25.35,18.12,54.03,10.48,5.06,14.13,23.73,45.33,37.95,27.01,10.99,10.97,33.79,25.06,42.17,26.63,9.66,22.59,23.22,13.49,42.30,31.02,48.95,3.67,7.75,20.11,20.40,14.93,25.30,19.47,25.87,3.94,5.36,26.69,2.98,14.02,10.84,32.56,28.03
27.66,2.33,11.52,23.70,39.73,27.15,24.03,40.59,927.86,21.88,36.29,7.20,58.50,44.82,6.43,41.42,32.70,48.23,32.45,5.45,44.75,22.05,24.96,92.60,11.73,13.18,58.64,11.08,21.56,16.47,7.32,65.90,28.43,36.84,14.00,6.78,12.54,23.94,21.78,34.58,412.47,13.62,7.75,20.27,20.77,8.27,30.24,54.58,17.67,24.28,32.18,34.28,6.85,90.53,10.99,5.91,19.20,12.95,216.55,116.69,27.92,25.61,18.29,53.81,10.72,5.09,13.87,23.76,45.76,37.39,26.95,10.90,10.94,33.35,24.89,41.79,26.39,10.08,22.58,23.34,13.24,42.06,30.66,49.02,3.66,7.59,20.13,20.51,14.68,24.71,19.36,25.96,3.94,5.30,26.10,2.98,13.78,10.80,32.82,28.99
27.70,2.33,11.51,23.85,40.51,27.53,24.16,39.39,939.34,21.84,36.33,7.63,61.15,43.98,6.36,41.55,32.50,50.57,32.43,5.10,45.27,21.90,25.00,90.33,11.74,13.31,58.30,11.64,21.35,16.59,7.37,65.88,28.31,36.55,14.01,6.70,12.53,24.18,21.80,34.18,410.25,13.65,7.66,20.36,20.73,8.20,30.35,54.76,17.57,24.57,32.07,34.49,7.04,89.27,10.99,5.97,19.42,13.09,201.09,117.07,27.70,26.23,18.27,54.23,10.72,5.11,14.06,23.95,43.22,37.60,27.03,10.93,10.84,33.50,24.80,42.20,26.92,10.11,23.01,23.48,13.15,41.69,30.69,49.32,3.74,7.71,20.22,20.43,15.02,25.00,19.53,25.78,3.87,5.45,26.26,3.07,13.79,10.81,32.93,27.88
28.29,2.23,11.33,23.80,39.39,27.31,24.13,37.07,928.00,21.49,36.33,7.65,59.92,42.74,6.25,41.50,32.12,50.63,32.24,4.91,45.15,21.70,25.19,90.00,11.46,13.04,58.14,11.90,21.12,16.45,7.11,65.43,28.26,37.07,13.85,6.59,12.33,23.96,22.52,34.07,400.49,13.49,7.45,20.09,20.59,8.86,29.93,53.58,17.05,24.26,31.47,34.10,7.05,88.16,10.89,5.77,19.28,12.92,198.22,117.74,27.51,25.69,18.30,53.76,11.05,5.43,13.84,23.72,42.42,37.46,27.11,10.86,10.55,33.16,25.13,41.41,26.39,10.01,22.86,23.02,13.15,41.69,30.41,48.62,3.61,7.55,19.73,20.17,14.95,24.25,18.97,25.24,3.73,5.46,25.78,3.04,13.37,10.65,32.40,27.33
27.86,2.22,11.35,23.66,39.20,27.15,24.06,35.56,926.30,21.83,36.26,7.66,59.89,38.33,6.31,41.32,31.86,50.04,31.79,4.61,44.92,21.71,25.30,90.41,11.60,12.87,57.84,10.86,20.92,16.36,7.13,65.88,27.46,36.51,13.68,6.57,12.13,23.78,22.93,33.48,399.43,13.34,7.45,20.14,20.52,9.07,29.93,53.14,16.64,24.25,31.37,33.55,7.12,88.15,10.62,5.69,19.25,12.92,190.97,117.92,27.42,26.15,18.15,52.93,11.33,5.37,13.60,23.20,38.23,37.29,26.80,10.76,10.37,32.90,24.88,41.61,26.16,9.84,23.20,22.79,13.08,41.22,29.91,47.91,3.63,7.52,20.07,20.07,14.89,23.92,20.95,25.06,3.73,5.48,26.05,2.95,13.49,10.49,32.58,27.13
BK,6,16
0.2
CF,17,26
0.21
AB,11,19
0.02,2.21
AI,CG,BO,5,21
17.34,11.16,8.59
BF,12,23
-0.32,73.69
BA,4,24
0.26
AI,BO,CG,18,27
13.73,7.6,6.28
AA,17,24
28.29,28.48,28.48,28.46
